date,value,is_forced_anomaly
2026-05-21,525.48,False
2026-05-22,512.18,False
2026-05-23,475.31,False
2026-05-24,459.63,False
2026-05-25,468.48,False
2026-05-26,491.06,False
2026-05-27,517.69,False
2026-05-28,520.6,False
2026-05-29,536.89,False
2026-05-30,452.74,False
2026-05-31,464.82,False
2026-06-01,523.89,False
2026-06-02,521.98,False
2026-06-03,541.98,False
2026-06-04,541.0,False
2026-06-05,528.02,False
2026-06-06,481.02,False
2026-06-07,438.02,False
2026-06-08,531.99,False
2026-06-09,526.18,False
2026-06-10,1774.65,True
2026-06-11,526.62,False
2026-06-12,571.78,False
2026-06-13,477.89,False
2026-06-14,453.86,False
2026-06-15,516.13,False
2026-06-16,542.95,False
2026-06-17,540.85,False
2026-06-18,552.6,False
2026-06-19,563.82,False
2026-06-20,525.52,False
2026-06-21,460.55,False
2026-06-22,519.54,False
2026-06-23,525.02,False
2026-06-24,551.65,False
2026-06-25,571.78,False
2026-06-26,560.31,False
2026-06-27,478.14,False
2026-06-28,459.32,False
2026-06-29,546.77,False
2026-06-30,259.33,True
2026-07-01,556.63,False
2026-07-02,545.77,False
2026-07-03,572.83,False
2026-07-04,501.65,False
2026-07-05,484.39,False
2026-07-06,557.03,False
2026-07-07,556.27,False
2026-07-08,565.37,False
2026-07-09,565.26,False
2026-07-10,580.15,False
2026-07-11,517.21,False
2026-07-12,460.51,False
2026-07-13,541.89,False
2026-07-14,550.07,False
2026-07-15,547.94,False
2026-07-16,565.38,False
2026-07-17,608.14,False
2026-07-18,496.55,False
2026-07-19,510.46,False
2026-07-20,1423.64,True
2026-07-21,558.8,False
2026-07-22,568.66,False
2026-07-23,587.18,False
2026-07-24,600.33,False
2026-07-25,532.71,False
2026-07-26,493.05,False
2026-07-27,551.9,False
2026-07-28,586.57,False
2026-07-29,568.58,False
2026-07-30,559.96,False
2026-07-31,573.42,False
2026-08-01,508.17,False
2026-08-02,514.57,False
2026-08-03,569.08,False
2026-08-04,189.84,True
2026-08-05,570.62,False
2026-08-06,592.07,False
2026-08-07,611.37,False
2026-08-08,525.44,False
2026-08-09,520.13,False
2026-08-10,560.89,False
2026-08-11,577.17,False
2026-08-12,577.74,False
2026-08-13,573.98,False
2026-08-14,615.17,False
2026-08-15,528.85,False
2026-08-16,518.43,False
2026-08-17,587.75,False
2026-08-18,598.04,False
